,river,bar,channel_width_mean,curvature_circle,curvature_fagherazzi
0,Brazos River,0,278.62,382.39180327085705,1548.4666460610833
1,Brazos River,1,278.62,477.71770430136365,1249.1619585886592
2,Brazos River,2,278.62,462.1771182929592,1550.6872055611511
3,Brazos River,3,278.62,773.6834636436303,1988.332731369847
4,Brazos River,4,278.62,538.9180936258074,1985.4742371340858
5,Brazos River,5,278.62,349.658177166475,1066.9542348254574
6,Brazos River,6,278.62,213.99650011713257,1422.5229965911462
7,Brazos River,7,278.62,309.2825759920727,1287.1037570444632
8,Brazos River,8,278.62,607.5739435839829,1559.328604954845
9,Brazos River,9,278.62,346.3941142222802,1054.99127211105
10,Brazos River,10,278.62,377.4594634375331,1114.2350091356082
11,Brazos River,11,278.62,477.7991833718851,1560.5904070561442
12,Brazos River,12,278.62,323.6323063750473,1561.7103128904396
13,Brazos River,13,278.62,561.3558455135469,1982.2423544953112
14,Koyukuk River,0,456.9142857142857,771.3448171901128,5606.533372055882
15,Koyukuk River,1,456.9142857142857,1349.48983282723,9836.645724230351
16,Koyukuk River,2,456.9142857142857,1890.8606249509721,13136.21028736313
17,Koyukuk River,3,456.9142857142857,1645.076163286091,10510.696384826955
18,Koyukuk River,4,456.9142857142857,1569.7081775848812,12797.289374898592
19,Koyukuk River,5,456.9142857142857,2449.2047645899206,13753.012885593744
20,Koyukuk River,6,456.9142857142857,2853.7612437337034,19145.214221260343
21,Koyukuk River,7,456.9142857142857,905.083737256213,10093.251777395142
22,Koyukuk River,8,456.9142857142857,1363.227651284521,10655.766244694569
23,Koyukuk River,9,456.9142857142857,1411.810592223819,8773.296499791124
24,Koyukuk River,10,456.9142857142857,1285.488559648109,9527.680920559855
25,Koyukuk River,11,456.9142857142857,1246.7767911461767,8622.433873106691
26,Koyukuk River,12,456.9142857142857,1433.257436408355,9212.901595157835
27,Mississippi River,0,1163.625,2961.3392370394754,20197.06355288787
28,Mississippi River,1,1163.625,1993.0166058118016,15239.955377537286
29,Mississippi River - Leclair,0,781.0,4984.344177211971,19846.8259776221
30,Mississippi River - Leclair,1,781.0,,
31,Mississippi River - Leclair,2,781.0,2217.8180225424517,13443.95345990256
32,Mississippi River - Leclair,3,781.0,2551.769431862316,16734.041768906096
33,Nestucca River,0,63.09375,201.44754130448177,1327.7107592691195
34,Nestucca River,1,63.09375,36.792687805317584,1273.9276090803473
35,Nestucca River,2,63.09375,28.48317525302372,473.0902499834989
36,Nestucca River,3,63.09375,11.510877996219952,657.6660209644497
37,Nestucca River,4,63.09375,168.87971047599052,886.6661625651936
38,Nestucca River,5,63.09375,115.06200136228162,1168.2802427733664
39,Nestucca River,6,63.09375,295.00125010155114,1758.7552093330899
40,Nestucca River,7,63.09375,263.92316506374686,2073.134067597945
41,Nestucca River,8,63.09375,223.54101496563888,2041.3858120535053
42,Nestucca River,9,63.09375,145.81155026461906,1050.9690918536799
43,Nestucca River,10,63.09375,141.978051453634,1768.1827383789973
44,Powder River,0,67.01886792452831,287.0596260313862,2712.5228293085843
45,Powder River,1,67.01886792452831,262.5198580262693,1218.2211272593288
46,Powder River,2,67.01886792452831,129.88176848043616,966.8607069149734
47,Powder River,3,67.01886792452831,89.9692660696885,999.6120501195865
48,Powder River,4,67.01886792452831,192.25506585793082,1170.8703168588443
49,Powder River,5,67.01886792452831,211.70396173982903,1529.245006308768
50,Powder River,6,67.01886792452831,193.55142997521642,1339.6832231384938
51,Powder River,7,67.01886792452831,248.58816290754677,1545.971243867554
52,Powder River,8,67.01886792452831,219.36209185749917,1566.350749584607
53,Powder River,9,67.01886792452831,298.76238146669255,1458.4981009117055
54,Powder River,10,67.01886792452831,373.31075892589405,2298.8386676178416
55,Powder River,11,67.01886792452831,260.2043693269628,1299.7266928276279
56,Powder River,12,67.01886792452831,142.13682545051816,1190.0599390963944
57,Powder River,13,67.01886792452831,307.6565097694647,2151.9370234936573
58,Powder River,14,67.01886792452831,162.10750532351534,1402.9243568493455
59,Powder River,15,67.01886792452831,257.09306391429834,1665.4911223116303
60,Powder River,16,67.01886792452831,272.54756670528315,1893.8794134074867
61,Powder River,17,67.01886792452831,349.54355542993886,1786.5497210761691
62,Powder River,18,67.01886792452831,126.9675280938141,915.5364772344183
63,Powder River,19,67.01886792452831,280.6693359869411,1990.829165740188
64,Powder River,20,67.01886792452831,174.75495784160648,1098.0341948260334
65,Powder River,21,67.01886792452831,249.55242927481996,1493.069153818536
66,Red River,0,248.45238095238096,6869.016979876039,273089725.12174237
67,Red River,1,248.45238095238096,1337.6471918755979,249344272.67555553
68,Red River,2,248.45238095238096,1023.8998362912434,196661430.61372662
69,Red River,3,248.45238095238096,1024.7301884220976,257204322.42548078
70,Red River,4,248.45238095238096,1284.546975861554,258375361.20290095
71,Red River,5,248.45238095238096,773.0142405957291,263210148.62060955
72,Red River,6,248.45238095238096,1325.561580608795,212079484.72085503
73,Red River,7,248.45238095238096,1430.0162953272938,456151251.00694823
74,Red River,8,248.45238095238096,1321.7531660018462,268770769.39057255
75,Red River,9,248.45238095238096,1807.883583112582,352697009.60206294
76,Red River,10,248.45238095238096,1255.9877317354085,223221624.3228371
77,Red River,11,248.45238095238096,1494.6331758375638,203877160.68239754
78,Red River,12,248.45238095238096,587.3175808824167,162106920.47590566
79,Rio Grande River,0,98.48648648648648,165.1675417013742,1531.9891131291326
80,Rio Grande River,1,98.48648648648648,125.99472072557296,1040.0513793303442
81,Rio Grande River,2,98.48648648648648,97.07577350553912,801.0054708513218
82,Rio Grande River,3,98.48648648648648,186.50772065622627,1303.4463318828884
83,Rio Grande River,4,98.48648648648648,268.5215819873738,1575.50330202333
84,Rio Grande River,5,98.48648648648648,237.0809399256247,1545.1663999458556
85,Rio Grande River,6,98.48648648648648,787.2384437742808,2255.1014487262128
86,Rio Grande River,7,98.48648648648648,282.1716761633607,1707.033557105057
87,Rio Grande River,8,98.48648648648648,584.4588256327779,2295.363980944486
88,Rio Grande River,9,98.48648648648648,218.69335011981562,1398.6447486433622
89,Rio Grande River,10,98.48648648648648,139.3828136772375,979.8560035249184
90,Rio Grande River,11,98.48648648648648,150.2829598722166,1208.0590258320713
91,Rio Grande River,12,98.48648648648648,256.0072546688006,1361.5019195690222
92,Rio Grande River,13,98.48648648648648,167.96113508345502,1961.2905923842804
93,Rio Grande River,14,98.48648648648648,157.8433557960874,1196.5103943616336
94,Rio Grande River,15,98.48648648648648,520.544955567589,4025.210306850548
95,Rio Grande River,16,98.48648648648648,346.9442405840835,1565.9518734711362
96,Rio Grande River,17,98.48648648648648,427.60510333106424,3140.1316732410046
97,Rio Grande River,18,98.48648648648648,130.73481515658463,1192.2591896358426
98,Rio Grande River,19,98.48648648648648,156.36730653498978,1572.5805798444535
99,Rio Grande River,20,98.48648648648648,146.83587013896516,1039.0295739829764
100,Rio Grande River,21,98.48648648648648,180.37498446307237,1333.2215621297942
101,Rio Grande River,22,98.48648648648648,362.485234042438,2952.695460443395
102,Rio Grande River,23,98.48648648648648,251.76652029586396,1368.976609326766
103,Rio Grande River,24,98.48648648648648,179.56588386242856,1197.7173482165556
104,Rio Grande River,25,98.48648648648648,225.4224269359909,1608.6816103054134
105,Sacramento River,0,233.07692307692307,598.4458193019814,3455.233401714531
106,Sacramento River,1,233.07692307692307,119.64495467250512,4834.2332111057385
107,Sacramento River,2,233.07692307692307,445.84874146726264,5023.264688289752
108,Sacramento River,3,233.07692307692307,730.5395361049806,3383.0759682255625
109,Sacramento River,4,233.07692307692307,114.79938159076269,2766.1810369390705
110,Sacramento River,5,233.07692307692307,107.27140012265244,3560.7154646496447
111,Sacramento River,6,233.07692307692307,459.6631631329429,3150.111252839633
112,Tombigbee River,0,347.17391304347825,671.2945626352946,4663.605635532508
113,Tombigbee River,1,347.17391304347825,718.8271231841106,4644.454888154933
114,Tombigbee River,2,347.17391304347825,401.97691578515787,3109.264978434936
115,Tombigbee River,3,347.17391304347825,585.3785490298286,3711.8307858549406
116,Tombigbee River,4,347.17391304347825,738.4844460545863,4103.855985077505
117,Tombigbee River,5,347.17391304347825,834.6576749434784,5759.607172503324
118,Tombigbee River,6,347.17391304347825,592.3463675412062,3502.4590704698494
119,Tombigbee River,7,347.17391304347825,643.9020535807155,4180.115921245635
120,Tombigbee River,8,347.17391304347825,89.771921928288,2806.9491656322334
121,Tombigbee River,9,347.17391304347825,1246.4291438507526,8129.628527895548
122,Trinity River,0,195.04545454545453,350.0457825629595,3993.5168866954155
123,Trinity River,1,195.04545454545453,339.567012078118,3420.2245306852524
124,Trinity River,2,195.04545454545453,593.9113035962766,4519.154499841536
125,Trinity River,3,195.04545454545453,360.2282514110846,2108.7586702209865
126,Trinity River,4,195.04545454545453,687.9625462911608,4286.109520960469
127,Trinity River,5,195.04545454545453,557.618753013707,3525.0423692932354
128,Trinity River,6,195.04545454545453,501.002956266058,2395.4644938390306
129,Trinity River,7,195.04545454545453,334.3774095769575,2321.6303124992905
130,Trinity River,8,195.04545454545453,335.55962531578734,2739.377500866826
131,Trinity River,9,195.04545454545453,886.4590172552851,2705.367355831866
132,Trinity River,10,195.04545454545453,638.0728328273773,3590.8175269828484
133,Trinity River,11,195.04545454545453,1000.9282660572522,3423.066318008039
134,Trinity River,12,195.04545454545453,443.17577956732356,3680.295665851123
135,Trinity River,13,195.04545454545453,575.3565576190616,1864.1618100578225
136,Trinity River,14,195.04545454545453,1346.7489711380729,3662.548967460309
137,Trinity River,15,195.04545454545453,459.3418216810014,2326.520827232726
138,Trinity River,16,195.04545454545453,581.4543848255221,4244.304673496451
139,Trinity River,17,195.04545454545453,299.65437283399604,1607.0718661756887
140,Trinity River,18,195.04545454545453,271.4748447966832,1859.1797947738683
141,Trinity River,19,195.04545454545453,476.3216703433901,3134.6335900049344
142,Trinity River,20,195.04545454545453,394.66690256938404,2717.832854924098
143,Trinity River,21,195.04545454545453,775.5678630336354,5002.69663709075
144,Trinity River,22,195.04545454545453,637.0700198849903,5631.853518258795
145,Trinity River,23,195.04545454545453,566.278382236441,3413.5261807724237
146,Trinity River,24,195.04545454545453,954.4762489353918,5481.908599589696
147,Trinity River,25,195.04545454545453,485.0364091188907,4283.364406263525
148,White River,0,114.71428571428571,195.10489051122315,1161.0775820290798
149,White River,1,114.71428571428571,206.38920176256707,1601.9371498098042
150,White River,2,114.71428571428571,411.8820334500084,3213.063585569974
151,White River,3,114.71428571428571,314.8918612101939,1422.6238763714873
152,White River,4,114.71428571428571,153.72620372529977,1414.0760833199154
153,White River,5,114.71428571428571,236.39225164713076,2789.412022398869
154,White River,6,114.71428571428571,105.47273092202806,838.0306392991258
