# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-07-17
#
# GRDC-No.:              4150501
# River:                 BRAZOS RIVER
# Station:               NEAR AQUILLA,TX
# Country:               US
# Latitude (DD):       31.8124
# Longitude (DD):      -97.2978
# Catchment area (km²):      70562.0
# Altitude (m ASL):        123.23
# Next downstream station:      4150500
# Remarks:               
# Owner of original data: United Staes of America - US Geological Surveigh (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1938-10 - 2019-08
# No. of years:          82
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 29530
# DATA
YYYY-MM-DD;hh:mm; Value
1938-10-01;--:--;      1.246
1938-10-02;--:--;      1.048
1938-10-03;--:--;      1.048
1938-10-04;--:--;      1.048
1938-10-05;--:--;      0.906
1938-10-06;--:--;      0.736
1938-10-07;--:--;      0.736
1938-10-08;--:--;      0.736
1938-10-09;--:--;      0.736
1938-10-10;--:--;      0.736
1938-10-11;--:--;      0.736
1938-10-12;--:--;      0.453
1938-10-13;--:--;      0.453
1938-10-14;--:--;      0.595
1938-10-15;--:--;      0.906
1938-10-16;--:--;      0.736
1938-10-17;--:--;      0.736
1938-10-18;--:--;      0.906
1938-10-19;--:--;      1.048
1938-10-20;--:--;      0.736
1938-10-21;--:--;      0.736
1938-10-22;--:--;      0.736
1938-10-23;--:--;      0.595
1938-10-24;--:--;      0.453
1938-10-25;--:--;      0.453
1938-10-26;--:--;      0.453
1938-10-27;--:--;      0.453
1938-10-28;--:--;      0.453
1938-10-29;--:--;      0.453
1938-10-30;--:--;      0.453
1938-10-31;--:--;      0.453
1938-11-01;--:--;      0.453
1938-11-02;--:--;      0.453
1938-11-03;--:--;      0.595
1938-11-04;--:--;      0.736
1938-11-05;--:--;      0.736
1938-11-06;--:--;      1.048
1938-11-07;--:--;      1.048
1938-11-08;--:--;      1.048
1938-11-09;--:--;      1.048
1938-11-10;--:--;      0.906
1938-11-11;--:--;      1.048
1938-11-12;--:--;      1.246
1938-11-13;--:--;      1.444
1938-11-14;--:--;      1.246
1938-11-15;--:--;      1.048
1938-11-16;--:--;      1.048
1938-11-17;--:--;      1.048
1938-11-18;--:--;      0.906
1938-11-19;--:--;      0.736
1938-11-20;--:--;      0.736
1938-11-21;--:--;      0.736
1938-11-22;--:--;      0.736
1938-11-23;--:--;      0.736
1938-11-24;--:--;      0.736
1938-11-25;--:--;      0.736
1938-11-26;--:--;      0.736
1938-11-27;--:--;      0.793
1938-11-28;--:--;      0.878
1938-11-29;--:--;      0.963
1938-11-30;--:--;      0.991
1938-12-01;--:--;      0.934
1938-12-02;--:--;      0.991
1938-12-03;--:--;      0.991
1938-12-04;--:--;      0.963
1938-12-05;--:--;      0.934
1938-12-06;--:--;      0.934
1938-12-07;--:--;      0.934
1938-12-08;--:--;      0.991
1938-12-09;--:--;      0.934
1938-12-10;--:--;      0.963
1938-12-11;--:--;      0.934
1938-12-12;--:--;      0.991
1938-12-13;--:--;      0.991
1938-12-14;--:--;      0.934
1938-12-15;--:--;      0.934
1938-12-16;--:--;      0.963
1938-12-17;--:--;      0.991
1938-12-18;--:--;      0.991
1938-12-19;--:--;      0.991
1938-12-20;--:--;      0.991
1938-12-21;--:--;      0.991
1938-12-22;--:--;      1.048
1938-12-23;--:--;      1.359
1938-12-24;--:--;      1.444
1938-12-25;--:--;      1.642
1938-12-26;--:--;      1.841
1938-12-27;--:--;      1.699
1938-12-28;--:--;      1.727
1938-12-29;--:--;      1.784
1938-12-30;--:--;      1.642
1938-12-31;--:--;      1.444
1939-01-01;--:--;      1.444
1939-01-02;--:--;      1.444
1939-01-03;--:--;      1.444
1939-01-04;--:--;      1.416
1939-01-05;--:--;      1.359
1939-01-06;--:--;      1.359
1939-01-07;--:--;      1.331
1939-01-08;--:--;      1.416
1939-01-09;--:--;      5.267
1939-01-10;--:--;     22.257
1939-01-11;--:--;      9.005
1939-01-12;--:--;     27.326
1939-01-13;--:--;     65.695
1939-01-14;--:--;     56.917
1939-01-15;--:--;     45.590
1939-01-16;--:--;     42.758
1939-01-17;--:--;     51.253
1939-01-18;--:--;     39.927
1939-01-19;--:--;     31.998
1939-01-20;--:--;     26.901
1939-01-21;--:--;     21.889
1939-01-22;--:--;     19.624
1939-01-23;--:--;     18.548
1939-01-24;--:--;     16.452
1939-01-25;--:--;     14.753
1939-01-26;--:--;     13.535
1939-01-27;--:--;     13.139
1939-01-28;--:--;     12.941
1939-01-29;--:--;     10.732
1939-01-30;--:--;      9.005
1939-01-31;--:--;      7.561
1939-02-01;--:--;      7.277
1939-02-02;--:--;      6.286
1939-02-03;--:--;      5.777
1939-02-04;--:--;      6.031
1939-02-05;--:--;      6.031
1939-02-06;--:--;      5.918
1939-02-07;--:--;      5.154
1939-02-08;--:--;      4.672
1939-02-09;--:--;      4.502
1939-02-10;--:--;      4.049
1939-02-11;--:--;      3.879
1939-02-12;--:--;      3.455
1939-02-13;--:--;      3.568
1939-02-14;--:--;      3.568
1939-02-15;--:--;     11.808
1939-02-16;--:--;     12.941
1939-02-17;--:--;      7.702
1939-02-18;--:--;      7.844
1939-02-19;--:--;     15.376
1939-02-20;--:--;     25.627
1939-02-21;--:--;     10.590
1939-02-22;--:--;      7.561
1939-02-23;--:--;      5.267
1939-02-24;--:--;      5.748
1939-02-25;--:--;     31.715
1939-02-26;--:--;      5.777
1939-02-27;--:--;      5.267
1939-02-28;--:--;      4.417
1939-03-01;--:--;      4.049
1939-03-02;--:--;      3.568
1939-03-03;--:--;      3.370
1939-03-04;--:--;      3.171
1939-03-05;--:--;      3.171
1939-03-06;--:--;      3.030
1939-03-07;--:--;      2.775
1939-03-08;--:--;      2.662
1939-03-09;--:--;      2.577
1939-03-10;--:--;      2.520
1939-03-11;--:--;      2.520
1939-03-12;--:--;      2.294
1939-03-13;--:--;      2.095
1939-03-14;--:--;      1.982
1939-03-15;--:--;      1.784
1939-03-16;--:--;      1.869
1939-03-17;--:--;      1.869
1939-03-18;--:--;      1.841
1939-03-19;--:--;      1.841
1939-03-20;--:--;      1.784
1939-03-21;--:--;      1.841
1939-03-22;--:--;      1.841
1939-03-23;--:--;      1.784
1939-03-24;--:--;      1.841
1939-03-25;--:--;      2.237
1939-03-26;--:--;      2.152
1939-03-27;--:--;      2.039
1939-03-28;--:--;      2.520
1939-03-29;--:--;      3.511
1939-03-30;--:--;      4.049
1939-03-31;--:--;      5.918
1939-04-01;--:--;      5.069
1939-04-02;--:--;      4.502
1939-04-03;--:--;      3.653
1939-04-04;--:--;      3.171
1939-04-05;--:--;      2.832
1939-04-06;--:--;      2.718
1939-04-07;--:--;      4.502
1939-04-08;--:--;      4.332
1939-04-09;--:--;      3.653
1939-04-10;--:--;      3.285
1939-04-11;--:--;      2.973
1939-04-12;--:--;      2.464
1939-04-13;--:--;      2.662
1939-04-14;--:--;      2.832
1939-04-15;--:--;      2.973
1939-04-16;--:--;      6.881
1939-04-17;--:--;      6.881
1939-04-18;--:--;     23.220
1939-04-19;--:--;     37.095
1939-04-20;--:--;     23.107
1939-04-21;--:--;     19.624
1939-04-22;--:--;     13.960
1939-04-23;--:--;     11.412
1939-04-24;--:--;     10.081
1939-04-25;--:--;     14.980
1939-04-26;--:--;     11.808
1939-04-27;--:--;      8.382
1939-04-28;--:--;      6.513
1939-04-29;--:--;      5.380
1939-04-30;--:--;      4.417
1939-05-01;--:--;      3.653
1939-05-02;--:--;      3.228
