# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-07-17
#
# GRDC-No.:              4103500
# River:                 KOYUKUK RIVER
# Station:               HUGHES, ALAS.
# Country:               US
# Latitude (DD):       66.047
# Longitude (DD):      -154.261
# Catchment area (km²):      47656.0
# Altitude (m ASL):        76.2
# Next downstream station:      4103300
# Remarks:               
# Owner of original data: United Staes of America - US Geological Surveigh (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960-01 - 1982-09
# No. of years:          23
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 8294
# DATA
YYYY-MM-DD;hh:mm; Value
1960-01-16;--:--;     22.115
1960-01-17;--:--;   -999.000
1960-01-18;--:--;   -999.000
1960-01-19;--:--;   -999.000
1960-01-20;--:--;   -999.000
1960-01-21;--:--;   -999.000
1960-01-22;--:--;   -999.000
1960-01-23;--:--;   -999.000
1960-01-24;--:--;   -999.000
1960-01-25;--:--;   -999.000
1960-01-26;--:--;   -999.000
1960-01-27;--:--;   -999.000
1960-01-28;--:--;   -999.000
1960-01-29;--:--;   -999.000
1960-01-30;--:--;   -999.000
1960-01-31;--:--;   -999.000
1960-02-01;--:--;   -999.000
1960-02-02;--:--;   -999.000
1960-02-03;--:--;   -999.000
1960-02-04;--:--;   -999.000
1960-02-05;--:--;   -999.000
1960-02-06;--:--;   -999.000
1960-02-07;--:--;   -999.000
1960-02-08;--:--;   -999.000
1960-02-09;--:--;   -999.000
1960-02-10;--:--;   -999.000
1960-02-11;--:--;   -999.000
1960-02-12;--:--;   -999.000
1960-02-13;--:--;   -999.000
1960-02-14;--:--;   -999.000
1960-02-15;--:--;   -999.000
1960-02-16;--:--;   -999.000
1960-02-17;--:--;   -999.000
1960-02-18;--:--;   -999.000
1960-02-19;--:--;   -999.000
1960-02-20;--:--;   -999.000
1960-02-21;--:--;   -999.000
1960-02-22;--:--;   -999.000
1960-02-23;--:--;   -999.000
1960-02-24;--:--;   -999.000
1960-02-25;--:--;   -999.000
1960-02-26;--:--;   -999.000
1960-02-27;--:--;   -999.000
1960-02-28;--:--;   -999.000
1960-02-29;--:--;   -999.000
1960-03-01;--:--;   -999.000
1960-03-02;--:--;   -999.000
1960-03-03;--:--;   -999.000
1960-03-04;--:--;   -999.000
1960-03-05;--:--;   -999.000
1960-03-06;--:--;   -999.000
1960-03-07;--:--;   -999.000
1960-03-08;--:--;   -999.000
1960-03-09;--:--;   -999.000
1960-03-10;--:--;   -999.000
1960-03-11;--:--;   -999.000
1960-03-12;--:--;   -999.000
1960-03-13;--:--;   -999.000
1960-03-14;--:--;   -999.000
1960-03-15;--:--;   -999.000
1960-03-16;--:--;     19.992
1960-03-17;--:--;   -999.000
1960-03-18;--:--;   -999.000
1960-03-19;--:--;   -999.000
1960-03-20;--:--;   -999.000
1960-03-21;--:--;   -999.000
1960-03-22;--:--;   -999.000
1960-03-23;--:--;   -999.000
1960-03-24;--:--;   -999.000
1960-03-25;--:--;   -999.000
1960-03-26;--:--;   -999.000
1960-03-27;--:--;   -999.000
1960-03-28;--:--;   -999.000
1960-03-29;--:--;   -999.000
1960-03-30;--:--;   -999.000
1960-03-31;--:--;   -999.000
1960-04-01;--:--;   -999.000
1960-04-02;--:--;   -999.000
1960-04-03;--:--;   -999.000
1960-04-04;--:--;   -999.000
1960-04-05;--:--;   -999.000
1960-04-06;--:--;   -999.000
1960-04-07;--:--;   -999.000
1960-04-08;--:--;   -999.000
1960-04-09;--:--;   -999.000
1960-04-10;--:--;   -999.000
1960-04-11;--:--;   -999.000
1960-04-12;--:--;   -999.000
1960-04-13;--:--;   -999.000
1960-04-14;--:--;   -999.000
1960-04-15;--:--;   -999.000
1960-04-16;--:--;   -999.000
1960-04-17;--:--;   -999.000
1960-04-18;--:--;     15.659
1960-04-19;--:--;   -999.000
1960-04-20;--:--;   -999.000
1960-04-21;--:--;   -999.000
1960-04-22;--:--;   -999.000
1960-04-23;--:--;   -999.000
1960-04-24;--:--;   -999.000
1960-04-25;--:--;   -999.000
1960-04-26;--:--;   -999.000
1960-04-27;--:--;   -999.000
1960-04-28;--:--;   -999.000
1960-04-29;--:--;   -999.000
1960-04-30;--:--;   -999.000
1960-05-01;--:--;   -999.000
1960-05-02;--:--;   -999.000
1960-05-03;--:--;   -999.000
1960-05-04;--:--;   -999.000
1960-05-05;--:--;   -999.000
1960-05-06;--:--;   -999.000
1960-05-07;--:--;   -999.000
1960-05-08;--:--;   -999.000
1960-05-09;--:--;   -999.000
1960-05-10;--:--;   -999.000
1960-05-11;--:--;   -999.000
1960-05-12;--:--;   -999.000
1960-05-13;--:--;   -999.000
1960-05-14;--:--;   -999.000
1960-05-15;--:--;   -999.000
1960-05-16;--:--;   -999.000
1960-05-17;--:--;   -999.000
1960-05-18;--:--;   -999.000
1960-05-19;--:--;   -999.000
1960-05-20;--:--;   -999.000
1960-05-21;--:--;   -999.000
1960-05-22;--:--;   -999.000
1960-05-23;--:--;   -999.000
1960-05-24;--:--;   -999.000
1960-05-25;--:--;   -999.000
1960-05-26;--:--;   -999.000
1960-05-27;--:--;   -999.000
1960-05-28;--:--;   -999.000
1960-05-29;--:--;   -999.000
1960-05-30;--:--;   -999.000
1960-05-31;--:--;   -999.000
1960-06-01;--:--;    991.088
1960-06-02;--:--;    792.870
1960-06-03;--:--;    651.286
1960-06-04;--:--;    538.019
1960-06-05;--:--;    427.584
1960-06-06;--:--;    351.128
1960-06-07;--:--;    319.980
1960-06-08;--:--;    356.792
1960-06-09;--:--;    438.910
1960-06-10;--:--;    535.188
1960-06-11;--:--;    665.445
1960-06-12;--:--;   1010.910
1960-06-13;--:--;    829.682
1960-06-14;--:--;    773.049
1960-06-15;--:--;    773.049
1960-06-16;--:--;    801.365
