X,Y,Distance - X,Distance - Y,X_m,Y_m
122.65,490.87,0,0,0,0
135.65,496.26,13,5.39,1.986111111,0.8234722222
142.94,498.11,20.29,7.24,3.099861111,1.106111111
160.62,501.31,37.97,10.44,5.800972222,1.595
174.58,504.1,51.93,13.23,7.93375,2.02125
199.56,507.83,76.91,16.96,11.75013889,2.591111111
212.89,511.92,90.24,21.05,13.78666667,3.215972222
229.28,511.1,106.63,20.23,16.29069444,3.090694444
235.33,511.88,112.68,21.01,17.215,3.209861111
244.62,515.03,121.97,24.16,18.63430556,3.691111111
254.9,518.16,132.25,27.29,20.20486111,4.169305556
264.37,520.89,141.72,30.02,21.65166667,4.586388889
