,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,73,325389.7953789454,3334309.2196927713,523,306,414.5,50.0,-5.0225241221032295,10,8.29
1,73,324769.4228145983,3334382.4301933832,340,329,334.5,135.0,5.273037150877034,10,2.477777777777778
2,73,325419.4718073802,3334328.3938980345,510,215,362.5,19.0,5.307742792332325,10,19.07894736842105
3,73,324755.6523608726,3334636.052501133,370,272,321.0,56.0,-4.563653400435436,10,5.732142857142857
4,73,325145.5857899671,3334262.2863295972,688,267,477.5,25.0,5.155026785132365,10,19.1
5,73,325098.2605556727,3334702.0291144773,536,428,482.0,50.0,5.276922825348558,10,9.64
6,73,325477.77881758765,3334377.3316725413,510,143,326.5,62.0,5.233100929852299,10,5.266129032258065
7,73,325047.4489234125,3334680.5452777944,623,363,493.0,62.0,5.1177869640653935,10,7.951612903225806
8,73,325146.893285126,3334726.82486727,392,278,335.0,110.0,-5.208922829976346,10,3.0454545454545454
9,73,325575.21856535715,3334503.5763476514,427,329,378.0,13.0,-4.866659998696145,10,29.076923076923077
0,74,325575.21856535715,3334503.5763476514,389,330,359.5,50.0,-5.523924808882932,10,7.19
1,74,325190.2530847443,3334751.054101477,459,238,348.5,38.0,5.0313523332604015,10,9.171052631578947
2,74,325544.40912791877,3334451.0216091503,472,16,244.0,25.0,5.250658560995188,10,9.76
3,74,325463.2238569299,3334364.4326664796,529,154,341.5,42.0,-4.684745477334523,10,8.130952380952381
4,74,324916.80262286327,3334310.962651804,717,25,371.0,25.0,-5.074467058641284,10,14.84
5,74,325448.75604789786,3334351.533662352,477,197,337.0,19.0,-5.669754526061574,10,17.736842105263158
6,74,325405.5268915321,3334814.285299212,888,152,520.0,32.0,-5.159920352389799,10,16.25
7,74,325585.9820755528,3334721.900685195,472,85,278.5,76.0,-4.878437190292367,10,3.664473684210526
8,74,325605.63569550385,3334663.245110521,415,324,369.5,44.0,-4.903745235770618,10,8.397727272727273
9,74,325582.9753913861,3334522.140458451,420,332,376.0,14.0,-4.700646843606004,10,26.857142857142858
0,75,325328.9608960046,3334804.0009597824,773,154,463.5,33.0,4.82962971756787,10,14.045454545454545
1,75,325145.5857899671,3334262.2863295972,606,278,442.0,50.0,5.6451354226150166,10,8.84
2,75,324794.3492663547,3334369.269715854,646,25,335.5,32.0,-4.589691838832475,10,10.484375
3,75,325373.49731027876,3334301.1142287743,567,343,455.0,25.0,-5.368279971674583,10,18.2
4,75,324972.75643210794,3334291.1347750225,712,232,472.0,44.0,-4.93723803803709,10,10.727272727272727
5,75,325566.28513873473,3334485.535168896,435,308,371.5,26.0,-4.598715979524124,10,14.288461538461538
6,75,324992.4973962247,3334662.5912465556,720,112,416.0,20.0,5.476770990701517,10,20.8
7,75,325492.2901988519,3334391.1458100327,487,29,258.0,32.0,5.188029138605954,10,8.0625
8,75,325073.5955646208,3334690.873203087,584,403,493.5,58.0,5.474109909387267,10,8.508620689655173
9,75,325607.2916661544,3334644.2016512095,417,343,380.0,43.0,5.2720245985743315,10,8.837209302325581
0,76,324755.6523608726,3334636.052501133,397,272,334.5,44.0,-4.5090442976639515,10,7.6022727272727275
1,76,325607.2916833168,3334624.1559026456,397,310,353.5,44.0,-5.167633606794691,10,8.034090909090908
2,76,325602.14945265907,3334682.157832637,414,333,373.5,19.0,-5.212768525934203,10,19.657894736842106
3,76,325200.40658687404,3334263.245094664,600,171,385.5,26.0,5.021461271470969,10,14.826923076923077
4,76,325380.1211093549,3334812.367872716,873,145,509.0,20.0,5.305431911300502,10,25.45
5,76,325585.9820755528,3334721.900685195,436,82,259.0,6.0,5.014120955861205,10,43.166666666666664
6,76,324842.80766588124,3334344.6918443376,737,302,519.5,26.0,-5.194100498871544,10,19.98076923076923
