,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,river
0,0,0_18,623633.471179842,3580460.85008792,170,170,170,70,Brazos River
1,0,0_19,628121.467672346,3580562.84513809,170,170,170,18,Brazos River
2,0,0_29,629330.466214648,3580430.84408546,152,152,152,102,Brazos River
3,0,0_31,628889.468170905,3580490.84362119,152,152,152,62,Brazos River
4,0,0_41,629636.466206043,3580286.84587116,184,184,184,118,Brazos River
5,0,0_45,629702.46637733,3580238.84608148,171,171,171,82,Brazos River
6,0,0_46,623717.470853847,3580235.84939324,171,171,171,60,Brazos River
7,0,0_50,626222.472891304,3580196.84624327,142,142,142,70,Brazos River
8,2,2_10,630260.467077878,3581414.84764513,152,152,152,42,Brazos River
9,2,2_11,623186.47214884,3581393.85258339,152,152,152,40,Brazos River
10,3,3_14,625673.460901463,3575141.833746,206,206,206,74,Brazos River
12,3,3_18,620387.46232251,3575066.83339833,295,295,295,56,Brazos River
13,3,3_19,625694.461647362,3575057.83372334,295,295,295,42,Brazos River
14,3,3_25,622526.461731355,3574877.83328965,182,182,182,180,Brazos River
15,3,3_27,620663.462333432,3574856.83282917,182,182,182,60,Brazos River
16,3,3_29,620738.462215581,3574811.8324776,91,91,91,30,Brazos River
17,3,3_30,620813.462388228,3574766.83232827,91,91,91,32,Brazos River
18,3,3_37,621059.46143769,3574646.83108229,164,164,164,106,Brazos River
19,3,3_38,625574.46333983,3574658.8320177,164,164,164,70,Brazos River
20,3,3_39,621143.461136724,3574607.83070531,164,164,164,42,Brazos River
21,4,4_17,623693.465095269,3576536.83858662,96,96,96,32,Brazos River
22,6,6_5,625763.453606163,3571541.82366407,136,136,136,40,Brazos River
23,7,7_6,634346.443739178,3561332.80498494,142,142,142,72,Brazos River
24,7,7_7,632024.449205045,3561344.8058733,142,142,142,76,Brazos River
25,7,7_17,631868.448310703,3561116.80686935,133,133,133,80,Brazos River
26,7,7_22,631862.448335803,3561107.80681806,137,137,137,64,Brazos River
27,7,7_25,631847.447305596,3561029.80689772,215,215,215,60,Brazos River
28,7,7_26,634787.442603898,3561104.8065438,215,215,215,56,Brazos River
29,7,7_27,633389.44750531,3561041.80536901,215,215,215,62,Brazos River
30,7,7_29,634793.44249633,3561098.80647868,195,195,195,40,Brazos River
