# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-07-17
#
# GRDC-No.:              4351900
# River:                 RIO GRANDE
# Station:               MATAMOROS
# Country:               MX
# Latitude (DD):       25.9
# Longitude (DD):      -97.52
# Catchment area (km²):      450902.0
# Altitude (m ASL):        12.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Mexico - National Water Commission (CNA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-01 - 1996-12
# No. of years:          30
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 10958
# DATA
YYYY-MM-DD;hh:mm; Value
1967-01-01;--:--;      5.780
1967-01-02;--:--;      4.730
1967-01-03;--:--;      3.960
1967-01-04;--:--;      2.360
1967-01-05;--:--;      1.290
1967-01-06;--:--;      1.100
1967-01-07;--:--;      2.830
1967-01-08;--:--;      4.590
1967-01-09;--:--;      9.170
1967-01-10;--:--;     15.600
1967-01-11;--:--;     24.400
1967-01-12;--:--;     28.300
1967-01-13;--:--;     19.300
1967-01-14;--:--;     12.500
1967-01-15;--:--;     13.600
1967-01-16;--:--;     10.600
1967-01-17;--:--;      3.710
1967-01-18;--:--;      1.870
1967-01-19;--:--;      1.330
1967-01-20;--:--;      2.620
1967-01-21;--:--;      4.930
1967-01-22;--:--;      3.680
1967-01-23;--:--;      2.460
1967-01-24;--:--;      2.120
1967-01-25;--:--;      3.370
1967-01-26;--:--;      3.790
1967-01-27;--:--;      2.190
1967-01-28;--:--;      1.180
1967-01-29;--:--;      1.100
1967-01-30;--:--;      1.270
1967-01-31;--:--;      2.150
1967-02-01;--:--;      3.570
1967-02-02;--:--;      4.130
1967-02-03;--:--;      3.280
1967-02-04;--:--;      2.510
1967-02-05;--:--;      2.830
1967-02-06;--:--;      5.240
1967-02-07;--:--;      7.360
1967-02-08;--:--;      7.900
1967-02-09;--:--;      4.050
1967-02-10;--:--;      3.790
1967-02-11;--:--;      4.760
1967-02-12;--:--;      5.150
1967-02-13;--:--;      5.520
1967-02-14;--:--;      3.140
1967-02-15;--:--;      2.020
1967-02-16;--:--;      1.110
1967-02-17;--:--;      0.720
1967-02-18;--:--;      1.120
1967-02-19;--:--;      5.610
1967-02-20;--:--;      9.340
1967-02-21;--:--;      8.210
1967-02-22;--:--;      4.250
1967-02-23;--:--;      2.400
1967-02-24;--:--;      1.540
1967-02-25;--:--;      1.470
1967-02-26;--:--;      1.770
1967-02-27;--:--;      1.980
