,river,bar,easting,northing,channel_width_mean,bar_width,curvature
0,Brazos River,0,628889.4681709048,3580430.844085462,170.0,70.0,241.8668720652499
1,Brazos River,2,626723.4696133593,3581404.3501142645,152.0,41.0,644.5637507909441
2,Brazos River,3,621101.4612872067,3574834.3326533874,173.0,58.0,903.1166766482597
3,Brazos River,4,623693.465095269,3576536.8385866163,96.0,32.0,6396345022.761686
4,Brazos River,6,625763.4536061627,3571541.8236640664,136.0,40.0,195.57627295119264
5,Brazos River,7,633389.44750531,3561104.806543804,195.0,62.0,705.1610130700741
6,Brazos River,9,634970.4414051627,3558155.8021495817,188.0,46.0,601.9155800087995
7,Koyukuk River,0,-1055398.1404898698,2552513.9742812905,481.75,223.5,1383.6435073571442
8,Koyukuk River,1,-1054236.864635343,2547902.9013057183,429.5,221.0,1122.602043545002
9,Koyukuk River,2,-1055812.0543576195,2546392.641156643,546.0,293.5,5296.8354486422095
10,Koyukuk River,3,-1061019.6870505498,2543854.3638592213,505.75,253.5,922.5767483296755
11,Koyukuk River,4,-1055191.3094891729,2539527.387073151,382.5,201.0,2355.8127707778826
12,Koyukuk River,5,-1042548.1240776959,2537473.3840680174,367.0,220.0,682.6622529736499
13,Koyukuk River,6,-1042168.8078268571,2526192.8480340564,567.75,263.5,4525.85391316873
14,Koyukuk River,7,-1036116.3607460972,2520962.0067413487,470.5,190.0,12146.419467771988
15,Koyukuk River,8,-1036790.3354336368,2520911.5839238176,441.5,186.0,1615.820270249024
16,Koyukuk River,9,-1032998.7357792644,2511941.137966014,473.0,206.0,944.6920407945163
17,Koyukuk River,10,-1031404.6114306052,2507005.2357431776,454.5,236.0,1171.761803544328
18,Koyukuk River,11,-1031823.3781359356,2503660.06061079,411.5,180.0,764.9622357899261
19,Koyukuk River,12,-1030681.6743775008,2498934.091074626,460.25,196.0,1634.8875847044214
20,Mississippi River,0,638198.1865227113,3406089.0079475245,820.0,625.0,2978.9352949605686
21,Mississippi River,1,641795.4812230954,3416663.8869515504,996.75,385.0,5878.802699884442
22,Mississippi River,2,635282.1014040879,3432840.8915014938,824.0,407.5,11842.098607141379
23,Mississippi River,3,631574.4899839007,3442666.4994007987,995.5,490.0,4134.346891017672
24,Mississippi River,4,633952.3056761257,3449162.2211091416,1284.25,612.5,2224.6217798822167
25,Mississippi River,5,628848.262632302,3457298.034868195,1181.0,405.0,2340.969381442952
26,Mississippi River,6,634251.7271879406,3459340.9667943334,970.25,742.5,8325.73570680021
27,Mississippi River,7,640919.6847478091,3461558.1719811745,1459.75,402.5,3196.9237805120183
28,Mississippi River,8,640911.4629078899,3482976.0366320093,1138.5,175.0,10019.693333012307
29,Mississippi River - Leclair,0,663464.9147593442,3388799.47753327,853.0,295.0,3269.8982375759665
30,Mississippi River - Leclair,2,667508.9631767435,3378959.4356938857,1591.0,410.0,6014.563141358827
31,Nestucca River,0,434740.3745650786,5012677.039704043,107.0,47.0,183.37214713754912
32,Nestucca River,2,433453.1268376283,5012869.662191177,85.0,37.0,70.92148934321538
33,Nestucca River,4,433572.2920808934,5010347.111611008,71.0,23.0,96.33330834559997
34,Nestucca River,5,432141.5923917197,5010387.167189783,66.0,44.0,261.5420250840659
35,Nestucca River,6,430819.53621630213,5009603.6120929215,72.0,36.0,358.93967512640285
36,Nestucca River,7,430535.17240389716,5008596.39474001,59.0,27.0,342.86173613924956
37,Nestucca River,8,430756.605655556,5008092.683910307,118.0,49.0,537.7290091723851
