X,Y,Distance - X,Distance - Y,X_m,Y_m
68.83,97.14,0,0,0,0
89.71,97.24,20.88,-0.1,14.84416925,-0.02280701754
150.23,92.33,81.4,4.81,57.86951038,1.097017544
181.59,79.09,112.76,18.05,80.16420135,4.116666667
211.21,62.95,142.38,34.19,101.2218782,7.797719298
267.21,40.27,198.38,56.87,141.0338264,12.97035088
292.28,34.22,223.45,62.92,158.8567825,14.35017544
315.27,32.7,246.44,64.44,175.2010091,14.69684211
330.09,32.7,261.26,64.44,185.7369568,14.69684211
342.45,32.7,273.62,64.44,194.5240225,14.69684211
