,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,20,325601.14726127806,3334583.715779584,387,255,321.0,116.0,-4.667667241863613,10,2.7672413793103448
1,20,324965.5227812114,3334655.139456636,304,218,261.0,105.0,-5.088476705351024,10,2.4857142857142858
2,20,324892.09427860554,3334639.3207929987,234,196,215.0,143.0,-4.954018053310745,10,1.5034965034965035
3,20,324762.14544802206,3334634.3529915926,261,39,150.0,110.0,4.912323841622829,10,1.3636363636363635
4,20,324842.80766588124,3334344.6918443376,234,133,183.5,61.0,5.028275544480353,10,3.0081967213114753
5,20,325234.1794022497,3334773.4094576472,282,164,223.0,25.0,4.769668309078171,10,8.92
6,20,324773.34481661377,3334380.2513146237,254,158,206.0,69.0,4.452440560873706,10,2.9855072463768115
7,20,325256.0989837226,3334782.473608765,256,164,210.0,39.0,-4.576776044938552,10,5.384615384615385
8,20,325448.75604789786,3334351.533662352,268,199,233.5,150.0,-5.735471827629229,10,1.5566666666666666
9,20,325463.2238569299,3334364.4326664796,289,144,216.5,165.0,-5.625275061086279,10,1.312121212121212
0,21,325200.40658687404,3334263.245094664,221,86,153.5,91.0,-4.830054059923822,10,1.6868131868131868
1,21,324760.4459170554,3334634.6144557307,278,27,152.5,145.0,5.100892606533225,10,1.0517241379310345
2,21,325405.0475809671,3334318.3710212666,276,167,221.5,101.0,-5.1273670011255374,10,2.1930693069306932
3,21,325492.2901988519,3334391.1458100327,304,122,213.0,97.0,-4.728744482040298,10,2.195876288659794
4,21,325173.0397645167,3334262.199204347,198,87,142.5,64.0,-5.464185569214085,10,2.2265625
5,21,325353.8437595151,3334292.7908707233,266,191,228.5,96.0,-5.128084915821305,10,2.3802083333333335
6,21,324892.09427860554,3334639.3207929987,236,196,216.0,93.0,-5.29676225273775,10,2.3225806451612905
7,21,325505.9300246491,3334405.0035237246,385,147,266.0,121.0,-4.808591491970342,10,2.1983471074380163
8,21,324842.80766588124,3334344.6918443376,252,133,192.5,75.0,4.740199739656469,10,2.566666666666667
9,21,325314.79811802495,3334280.458346738,256,83,169.5,66.0,-5.217191482520383,10,2.5681818181818183
0,22,325434.2446604172,3334339.5933695007,281,223,252.0,133.0,-5.520025483436812,10,1.894736842105263
1,22,325190.2530847443,3334751.054101477,321,192,256.5,55.0,-5.175476591262974,10,4.663636363636364
2,22,325495.81980936916,3334801.9528679466,286,146,216.0,126.0,-4.951950637000214,10,1.7142857142857142
3,22,324755.6523608726,3334636.052501133,260,246,253.0,111.0,5.279570766018061,10,2.279279279279279
4,22,324972.75643210794,3334291.1347750225,239,133,186.0,76.0,5.059057272822091,10,2.4473684210526314
5,22,325602.14945265907,3334682.157832637,276,193,234.5,104.0,-5.333510587897941,10,2.2548076923076925
6,22,325604.76419713954,3334603.369330842,349,227,288.0,106.0,-4.735813245099644,10,2.7169811320754715
7,22,325419.4718073802,3334328.3938980345,293,166,229.5,112.0,-5.096633343711147,10,2.049107142857143
8,22,324844.2459127419,3334633.0892008585,243,114,178.5,95.0,-5.148830697186925,10,1.8789473684210527
9,22,325380.1211093549,3334812.367872716,163,87,125.0,38.0,5.219817793630732,10,3.289473684210526
0,23,324773.34481661377,3334380.2513146237,223,167,195.0,74.0,5.100899129233102,10,2.635135135135135
1,23,325555.82648712705,3334467.5811462076,258,167,212.5,95.0,-4.909054998507052,10,2.236842105263158
2,23,324795.9616402568,3334368.005961098,258,148,203.0,51.0,4.920028161607712,10,3.980392156862745
3,23,325328.9608960046,3334804.0009597824,197,84,140.5,24.0,5.169585197277339,10,5.854166666666667
4,23,325169.2922177315,3334739.070221893,363,219,291.0,86.0,-5.116728804730209,10,3.383720930232558
5,23,325372.2335577047,3334300.286251815,274,165,219.5,95.0,-4.809531668703647,10,2.3105263157894735
6,23,325274.75018680457,3334271.5248930263,265,86,175.5,79.0,-5.027467433015873,10,2.221518987341772
7,23,325575.21856535715,3334503.5763476514,323,260,291.5,79.0,-4.844906127181909,10,3.689873417721519
8,23,325227.99128893187,3334265.336842259,235,86,160.5,93.0,-4.874189800564262,10,1.7258064516129032
9,23,325145.0630227679,3334725.430379566,330,195,262.5,102.0,-4.23234414004941,10,2.573529411764706
0,24,325073.5955646208,3334690.873203087,203,245,224.0,132.0,-4.675945283276079,10,1.696969696969697
1,24,325575.21856535715,3334503.5763476514,375,259,317.0,65.0,-4.717545268201024,10,4.876923076923077
2,24,325256.0989837226,3334782.473608765,247,166,206.5,23.0,4.692016056287339,10,8.978260869565217
3,24,325389.7953789454,3334309.2196927713,226,191,208.5,96.0,-5.271343435944111,10,2.171875
4,24,325566.28513873473,3334485.535168896,377,180,278.5,72.0,-4.449449518720564,10,3.8680555555555554
5,24,325251.9154595832,3334268.300133895,265,86,175.5,72.0,-4.9215332140724914,10,2.4375
6,24,325533.3401803465,3334781.994301963,244,162,203.0,82.0,-5.099774058654055,10,2.475609756097561
7,24,324972.75643210794,3334291.1347750225,224,137,180.5,80.0,4.99848110393022,10,2.25625
8,24,325555.82648712705,3334467.5811462076,286,172,229.0,101.0,-5.165791963641769,10,2.267326732673267
9,24,325475.0768420623,3334808.6202489566,219,126,172.5,90.0,-5.3216117396718845,10,1.9166666666666667
0,25,325251.9154595832,3334268.300133895,261,86,173.5,101.0,-5.188254194203482,10,1.7178217821782178
1,25,324771.12235031475,3334381.558643738,247,164,205.5,76.0,4.954360893451779,10,2.7039473684210527
2,25,325304.0344526448,3334797.9000887126,187,111,149.0,40.0,5.188122819864261,10,3.725
3,25,324767.2874972273,3334383.519626885,218,157,187.5,53.0,4.994688204156041,10,3.5377358490566038
4,25,325225.7252487832,3334265.162530032,236,88,162.0,77.0,-5.24769995595323,10,2.103896103896104
5,25,325173.0397645167,3334262.199204347,218,89,153.5,69.0,-5.059529167758187,10,2.2246376811594204
6,25,324890.30736981856,3334322.380026023,245,194,219.5,75.0,4.797301759889424,10,2.9266666666666667
7,25,325492.2901988519,3334391.1458100327,358,160,259.0,137.0,-4.67019209053004,10,1.8905109489051095
8,25,325200.40658687404,3334263.245094664,236,88,162.0,90.0,-4.910779126214329,10,1.8
9,25,324844.2459127419,3334633.0892008585,238,145,191.5,97.0,-4.909563495350792,10,1.9742268041237114
0,26,324916.80262286327,3334310.962651804,241,175,208.0,71.0,4.618641710319134,10,2.9295774647887325
1,26,324767.2874972273,3334383.519626885,212,159,185.5,49.0,5.049141923001203,10,3.7857142857142856
2,26,325597.00739328365,3334563.4957171623,275,243,259.0,63.0,-4.8393050205620805,10,4.111111111111111
3,26,325595.6999261533,3334702.11641578,273,191,232.0,115.0,-4.869135936815214,10,2.017391304347826
4,26,324944.0822852097,3334301.2012393097,227,158,192.5,69.0,5.386478043836969,10,2.789855072463768
5,26,325602.14945265907,3334682.157832637,282,196,239.0,187.0,-4.960179716187264,10,1.2780748663101604
6,26,325225.7252487832,3334265.162530032,250,88,169.0,95.0,-5.06599081841976,10,1.7789473684210526
7,26,325492.2901988519,3334391.1458100327,317,163,240.0,110.0,-5.080408148921163,10,2.1818181818181817
8,26,324867.6907412172,3334635.747429799,243,116,179.5,120.0,-4.9448676720987494,10,1.4958333333333333
9,26,325448.75604789786,3334351.533662352,230,139,184.5,133.0,-5.13856936167244,10,1.387218045112782
0,27,324765.84942480735,3334384.173284113,215,162,188.5,77.0,5.6093202745534265,10,2.448051948051948
1,27,325353.8437595151,3334292.7908707233,262,193,227.5,115.0,-4.952343936217328,10,1.9782608695652173
2,27,325227.99128893187,3334265.336842259,258,89,173.5,94.0,-4.9327379766505475,10,1.8457446808510638
3,27,325389.7953789454,3334309.2196927713,253,191,222.0,106.0,-4.995770647312945,10,2.0943396226415096
4,27,324767.2874972273,3334383.519626885,224,162,193.0,55.0,4.95799240543695,10,3.5090909090909093
