,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,0,325091.1571823051,3334265.7725144387,214,83,148.5,115.0,5.300877654408091,10,1.291304347826087
1,0,324769.4228145983,3334382.4301933832,229,119,174.0,96.0,-5.223564942418551,10,1.8125
2,0,324820.8882408438,3334631.781884967,260,136,198.0,210.0,5.811428688443764,10,0.9428571428571428
3,0,325098.2605556727,3334702.0291144773,260,177,218.5,142.0,5.153743203474437,10,1.5387323943661972
4,0,325601.14726127806,3334583.715779584,301,222,261.5,106.0,-5.02166252094812,10,2.4669811320754715
5,0,324794.3492663547,3334369.269715854,201,126,163.5,54.0,-5.092440478195601,10,3.0277777777777777
6,0,325434.2446604172,3334339.5933695007,214,161,187.5,123.0,5.08386749593926,10,1.524390243902439
7,0,325256.0989837226,3334782.473608765,276,180,228.0,49.0,-5.289340456611392,10,4.653061224489796
8,0,325597.00739328365,3334563.4957171623,273,167,220.0,63.0,-4.948322857912328,10,3.492063492063492
9,0,325353.8437595151,3334292.7908707233,211,116,163.5,79.0,-4.741351884803038,10,2.069620253164557
0,1,325145.0630227679,3334725.430379566,283,198,240.5,146.0,-5.38996956844041,10,1.6472602739726028
1,1,325146.893285126,3334726.82486727,293,199,246.0,186.0,5.415307226126912,10,1.3225806451612903
2,1,325515.2118668242,3334792.932292843,268,152,210.0,106.0,5.094817511150339,10,1.9811320754716981
3,1,324890.30736981856,3334322.380026023,230,174,202.0,63.0,-4.483620808576679,10,3.2063492063492065
4,1,324944.0822852097,3334301.2012393097,215,203,209.0,44.0,4.646822051396707,10,4.75
5,1,325380.1211093549,3334812.367872716,180,109,144.5,41.0,5.263278176714964,10,3.524390243902439
6,1,325372.2335577047,3334300.286251815,208,108,158.0,71.0,-4.864628510731419,10,2.2253521126760565
7,1,324780.66598608927,3334632.130526611,268,136,202.0,136.0,5.465190440123143,10,1.4852941176470589
8,1,325495.81980936916,3334801.9528679466,271,118,194.5,120.0,5.159934705129272,10,1.6208333333333333
9,1,324760.4459170554,3334634.6144557307,296,135,215.5,159.0,-5.368149912260217,10,1.3553459119496856
0,2,324769.4228145983,3334382.4301933832,222,119,170.5,107.0,-5.100063852570125,10,1.5934579439252337
1,2,325590.99368230783,3334542.4040995906,279,171,225.0,102.0,-5.092318338527828,10,2.2058823529411766
2,2,325532.4252683432,3334434.9850001712,254,156,205.0,121.0,-5.072912925083668,10,1.6942148760330578
3,2,325061.13210873504,3334270.56606383,232,83,157.5,80.0,5.267772072374069,10,1.96875
4,2,325597.00739328365,3334563.4957171623,285,167,226.0,143.0,-5.228747960678083,10,1.5804195804195804
5,2,324844.2459127419,3334633.0892008585,266,191,228.5,172.0,5.569096584681691,10,1.3284883720930232
6,2,325145.0630227679,3334725.430379566,282,198,240.0,125.0,-5.265554451060852,10,1.92
7,2,324939.4197132455,3334648.77712569,238,195,216.5,133.0,-5.032575680533665,10,1.6278195488721805
8,2,325607.2916661544,3334644.2016512095,297,220,258.5,98.0,-4.449020966435831,10,2.6377551020408165
9,2,325448.75604789786,3334351.533662352,191,170,180.5,107.0,5.668621445311926,10,1.6869158878504673
0,3,325475.0768420623,3334808.6202489566,230,164,197.0,77.0,-4.502272072956967,10,2.5584415584415585
1,3,325091.1571823051,3334265.7725144387,192,83,137.5,85.0,5.322829229504366,10,1.6176470588235294
2,3,325146.893285126,3334726.82486727,252,199,225.5,28.0,5.313332850393763,10,8.053571428571429
3,3,325190.2530847443,3334751.054101477,315,187,251.0,108.0,4.819258538352803,10,2.324074074074074
4,3,325145.5857899671,3334262.2863295972,179,82,130.5,41.0,-4.925095817379925,10,3.182926829268293
5,3,325590.99368230783,3334542.4040995906,293,171,232.0,81.0,-4.963282364461972,10,2.8641975308641974
6,3,324755.6523608726,3334636.052501133,261,57,159.0,151.0,-5.177245463894003,10,1.0529801324503312
7,3,324972.75643210794,3334291.1347750225,230,140,185.0,51.0,-4.937786171194148,10,3.627450980392157
8,3,325564.4546612122,3334753.320192458,324,261,292.5,121.0,-5.213798469176095,10,2.4173553719008263
9,3,324820.8882408438,3334631.781884967,296,136,216.0,108.0,5.001224386829396,10,2.0
0,4,324842.80766588124,3334344.6918443376,231,177,204.0,81.0,4.933508751957035,10,2.5185185185185186
1,4,325334.1466277638,3334286.5156633942,196,115,155.5,95.0,5.2992753458423,10,1.6368421052631579
2,4,324758.0055631192,3334635.180958705,285,84,184.5,144.0,-5.112273013564179,10,1.28125
3,4,325031.6299687894,3334275.6646668594,215,148,181.5,77.0,-4.958350455727732,10,2.357142857142857
4,4,325227.99128893187,3334265.336842259,231,83,157.0,58.0,5.139053538906314,10,2.706896551724138
5,4,325389.7953789454,3334309.2196927713,190,125,157.5,112.0,-5.499632547620861,10,1.40625
6,4,325564.4546612122,3334753.320192458,317,261,289.0,161.0,-5.13497201698176,10,1.795031055900621
7,4,324794.3492663547,3334369.269715854,215,126,170.5,95.0,-4.99042268236689,10,1.7947368421052632
8,4,324892.09427860554,3334639.3207929987,225,219,222.0,112.0,5.5998735867122456,10,1.9821428571428572
9,4,325020.69219326344,3334671.1760599785,288,200,244.0,108.0,-5.237784359889271,10,2.259259259259259
