bar,Unnamed: 0,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,distance,river
0,1.5,429067.7540047152,3671197.7702357955,246.0,210.75,228.375,34.5,8.845908234772134,718.76377778834,Red River
1,8.0,401657.31464059197,3714227.5378026566,275.22222222222223,240.22222222222223,257.72222222222223,39.77777777777778,15.409294903721047,599.0323052899354,Red River
2,16.5,406102.9064702325,3714128.006347792,304.375,212.625,258.5,27.25,17.09896263473929,570.8121856889491,Red River
3,26.5,408094.772659279,3713744.0348249334,309.6666666666667,249.33333333333334,279.5,56.166666666666664,13.327342198952687,646.102184957137,Red River
4,38.5,408543.3875175408,3711341.554732101,217.66666666666666,149.75,183.70833333333334,36.166666666666664,15.361140226539641,1358.5655622305908,Red River
5,52.0,412880.7279465328,3713296.3535479465,265.6666666666667,219.73333333333332,242.7,44.13333333333333,11.33203272989057,1206.6150750705476,Red River
6,63.5,414759.32917009713,3716185.028614351,198.0,186.5,192.25,30.0,11.353150357842946,713.1804455131852,Red River
7,72.0,418148.8567231793,3717562.4355320926,272.6666666666667,223.66666666666666,248.16666666666666,55.55555555555556,14.0576435237628,473.0931343785767,Red River
8,78.5,419855.12438310776,3717878.91817104,323.25,188.0,255.625,79.0,8.918149069029909,555.3578802084829,Red River
9,85.0,424568.0717118477,3718489.8389246096,393.6666666666667,145.77777777777777,269.72222222222223,34.44444444444444,13.572678538298454,503.5120428759806,Red River
10,94.0,423732.17479096196,3714262.487462664,217.77777777777777,226.0,221.88888888888889,72.22222222222223,11.199481608940898,878.0339907304373,Red River
11,102.5,426044.50409005344,3712947.9810783593,287.0,194.5,240.75,36.0,11.537536516559408,664.596246485688,Red River
12,110.0,425613.35525440524,3710964.4863347425,383.7142857142857,248.71428571428572,316.2142857142857,37.42857142857143,18.45109352681043,581.528368462169,Red River
13,116.0,430489.08553750784,3709944.342035639,302.0,265.8,283.9,49.6,10.523785226913425,676.479636090609,Red River
14,125.0,430129.5022776896,3708232.2003835714,376.15384615384613,216.07692307692307,296.11538461538464,44.15384615384615,13.630748205628125,797.8785993859608,Red River
15,137.0,431818.79396049626,3707022.3348536175,351.54545454545456,254.63636363636363,303.09090909090907,53.63636363636363,10.345839801916814,435.50817398009644,Red River
16,146.5,432573.9501449376,3703551.3059387393,308.125,244.75,276.4375,31.25,15.08405499533231,407.44810902894824,Red River
17,153.0,431616.527501228,3701448.0361086354,248.6,144.0,196.3,33.2,12.622338082936407,388.7353915893829,Red River
18,160.0,433390.57783283317,3696492.8446166124,314.8888888888889,253.88888888888889,284.3888888888889,37.111111111111114,8.303438973344008,418.67244944884936,Red River
19,170.5,434563.5818488668,3689230.495863756,333.8333333333333,203.33333333333334,268.5833333333333,30.333333333333332,13.871242996551139,571.419862487248,Red River
20,183.5,437550.82692789676,3687247.383949138,244.07142857142858,158.0,201.03571428571428,34.57142857142857,13.904507476053492,959.7855445320894,Red River
21,199.0,435366.5884723706,3685313.681265659,300.94117647058823,246.88235294117646,273.9117647058824,33.88235294117647,9.988143644983431,845.8512690204459,Red River
22,213.0,434508.09624132793,3682185.2628817544,325.1818181818182,231.0909090909091,278.1363636363636,34.90909090909091,10.855297667582091,1174.2317788839935,Red River
23,231.5,432374.3149161852,3681924.375495355,300.03846153846155,220.5,260.2692307692308,34.0,10.170132585261523,1772.1565024028787,Red River
24,250.0,432123.356214427,3677144.6047975305,276.54545454545456,163.8181818181818,220.1818181818182,38.0,10.45887560963769,780.7949681206948,Red River
0,3.0,322261.77417022845,3341042.857078829,279.7142857142857,224.57142857142858,252.14285714285714,66.28571428571429,4.962722298312151,706.0385964362029,Trinity River
1,11.0,324513.26299712254,3320610.889242111,192.11111111111111,152.22222222222223,172.16666666666666,52.666666666666664,3.9563713585629596,572.5816973087966,Trinity River
2,17.0,324490.6142500385,3321204.1040185294,181.66666666666666,200.33333333333334,191.0,39.333333333333336,3.921518017367219,415.5521765416056,Trinity River
3,22.0,324361.08897815243,3321733.6876283316,194.28571428571428,185.57142857142858,189.92857142857142,56.285714285714285,3.785784695372715,347.0803524276704,Trinity River
4,27.5,324339.3119653276,3322337.7269972484,202.0,275.75,238.875,71.5,3.995675874541758,134.9202009453944,Trinity River
5,34.5,323945.7619319876,3322951.2254845146,184.6,117.7,151.15,55.2,3.9796827822474867,608.3643204446493,Trinity River
6,45.0,323611.1999355138,3325182.781458205,203.0909090909091,143.8181818181818,173.45454545454547,53.63636363636363,4.3206733811070075,655.3446261460448,Trinity River
7,53.0,324392.13639743207,3326267.96401604,184.2,115.8,150.0,45.2,4.652018469139444,354.82383564233606,Trinity River
8,57.0,324502.73226605164,3327048.867570458,238.66666666666666,199.33333333333334,219.0,81.33333333333333,4.275550220744113,178.62255013428873,Trinity River
9,61.0,324019.7712231831,3327593.211588891,186.2,134.4,160.3,49.6,4.526232263459697,240.71187860326762,Trinity River
10,66.0,324496.1814001178,3328561.9061974213,195.0,194.6,194.8,57.2,4.295777873099001,379.90108274146985,Trinity River
11,70.0,324421.504816465,3329808.6888877857,176.66666666666666,94.33333333333333,135.5,59.333333333333336,5.027702762941538,146.6129213955169,Trinity River
12,73.0,324494.53032963845,3330355.636688043,275.0,146.66666666666666,210.83333333333334,61.333333333333336,5.00988502823644,279.6159429724535,Trinity River
13,77.5,324610.49092733837,3330936.262307538,213.5,127.16666666666667,170.33333333333334,51.333333333333336,4.995574099996747,396.85657570768285,Trinity River
14,83.0,324961.0874927341,3331316.086945946,208.4,139.2,173.8,56.0,4.807077098543501,296.6164199353208,Trinity River
15,86.0,325298.00862944336,3331433.2979807225,248.0,152.0,200.0,50.0,5.226776897967049,0.0,Trinity River
16,87.5,325360.4503302715,3332369.5279651294,237.5,153.0,195.25,60.0,4.689423191316848,142.95563709655454,Trinity River
17,89.5,325315.3382078114,3332588.86783401,275.5,155.5,215.5,52.0,3.833110843471717,58.560031363996174,Trinity River
18,92.0,325032.4545006636,3333329.041399108,220.66666666666666,137.66666666666666,179.16666666666666,50.0,4.248187727757811,118.26424263024933,Trinity River
19,95.5,323994.40375863644,3334319.5770291407,252.75,153.75,203.25,63.5,5.6718684667302695,213.68839502549574,Trinity River
20,102.0,325177.09349925484,3334420.420074247,262.3333333333333,141.0,201.66666666666666,68.88888888888889,5.663369340656092,568.497047063038,Trinity River
21,110.0,324847.30880028935,3334819.971220626,299.7142857142857,194.57142857142858,247.14285714285714,88.85714285714286,5.089723149534281,499.3442538239941,Trinity River
22,118.0,325571.30537383055,3335549.8011267083,226.55555555555554,116.22222222222223,171.38888888888889,56.22222222222222,5.72094933985837,689.5565970587425,Trinity River
23,124.5,325654.08798147505,3336868.159001521,218.25,134.75,176.5,44.0,5.3124710225478164,371.67606654185863,Trinity River
24,128.5,325655.5437717475,3338382.7692777803,247.0,171.75,209.375,84.0,5.206199055374748,424.0176186622888,Trinity River
25,133.5,324422.25188464747,3338763.32859144,231.0,159.0,195.0,53.333333333333336,5.236917065673703,960.1272083304008,Trinity River
2,0.5,-1055278.8975758855,2548507.5096516563,684.0,320.5,502.25,311.0,,407.1869902869188,Koyukuk River
3,2.0,-1056991.2777377057,2544764.9335304364,666.0,421.0,543.5,281.0,,0.0,Koyukuk River
4,5.0,-1060030.4812686318,2544271.2721634125,531.0,290.2,410.6,222.8,,1501.5500979299645,Koyukuk River
6,8.5,-1042813.4295211362,2537527.1792112123,548.5,390.5,469.5,306.0,,617.7640482007139,Koyukuk River
7,12.5,-1040983.2188198464,2527743.94066528,735.0,455.1666666666667,595.0833333333334,282.5,,2853.6532031140705,Koyukuk River
8,16.5,-1036176.9872043706,2520565.01029239,619.0,376.0,497.5,205.5,,221.08362968549312,Koyukuk River
9,19.333333333333332,-1037233.0299193921,2520568.2889094497,675.0,457.3333333333333,566.1666666666666,173.66666666666666,,1300.2472873707936,Koyukuk River
10,25.0,-1033758.5011049997,2511882.1086939615,670.1428571428571,357.85714285714283,514.0,242.42857142857142,,1511.5563591821717,Koyukuk River
11,29.5,-1031587.9164772764,2507264.0185543206,536.0,368.5,452.25,275.5,,610.3778845457246,Koyukuk River
12,31.0,-1031005.5548348166,2503832.957836407,461.0,195.0,328.0,261.0,,0.0,Koyukuk River
2,2.0,499176.60001546843,4515809.399824625,562.2,562.2,562.2,235.0,0.7912227842964032,,Platte River
3,13.0,531793.7647601952,4515146.470330375,507.11764705882354,507.11764705882354,507.11764705882354,233.58823529411765,0.5737255292637873,,Platte River
4,23.5,496875.75008989964,4500965.9996469775,582.0,582.0,582.0,224.25,0.7734199991684537,,Platte River
11,37.0,650429.2174022114,4584064.825950032,737.1739130434783,737.1739130434783,737.1739130434783,304.0,1.2697014317191386,,Platte River
12,52.5,649925.6250689846,4583113.124736626,751.5,751.5,751.5,319.5,1.9397863080691349,,Platte River
13,57.0,651815.9998105676,4582601.999808163,966.0,966.0,966.0,207.0,0.7846585960024189,,Platte River
14,68.5,650862.1363667727,4582722.817908579,727.6818181818181,727.6818181818181,727.6818181818181,306.90909090909093,2.040375263173971,,Platte River
0,1.5,553338.0000085796,4371452.999825763,32.994600000000005,33.070800000000006,108.375,19.2786,2.660961970349447,1023.3776913193956,White River
1,4.5,519308.9999260897,4346606.99998158,55.473600000000005,27.279600000000002,135.75,42.2148,1.6930685808051344,39.45884279672739,White River
2,6.5,520944.0001037291,4347962.999812526,77.5716,17.983200000000004,156.75,17.6784,2.846733269430859,984.8959424255212,White River
4,9.5,526643.9999853127,4353398.999863336,70.0278,33.070800000000006,169.125,19.2786,1.9088178630595989,2772.6690083274093,White River
5,16.0,527257.666605837,4353826.999746532,64.04186666666666,25.366133333333337,146.66666666666666,16.459200000000003,3.1211021079648664,1546.5479188824854,White River
6,23.5,524667.9998338822,4354245.499858772,105.86719999999998,44.6532,246.91666666666666,17.779999999999998,2.0325027573546026,367.06866076437365,White River
7,28.0,526393.9999740637,4354471.999889356,69.4944,39.11600000000001,178.16666666666666,20.5232,2.3802520380516827,1845.8466841682432,White River
10,30.0,534896.999652928,4357253.999855435,0.3048,74.9808,123.5,9.4488,0.7354302463237224,0.0,White River
12,37.0,541320.2307263081,4359366.922882585,86.96178461538463,37.7014153846154,204.5,17.631507692307697,1.8210617340910507,1189.1402235055257,White River
14,44.5,545187.000159898,4361537.999923143,148.4376,34.89960000000001,300.75,16.154400000000003,1.8770605792692487,300.85378982437635,White River
1,0.5,443449.6794876597,5007075.391399893,106.5,28.0,67.25,15.0,2.1264106301253536,411.4925364044736,Powder River
6,2.5,447959.6840907794,5010885.369641405,81.0,155.5,118.25,21.0,1.7461286593839527,5.000044821799437,Powder River
8,4.0,449339.6843546938,5011780.357555118,80.0,46.0,63.0,30.0,1.5861023034476205,0.0,Powder River
