,Unnamed: 0,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,distance,river
18,18,2,2_12,406307.622594809,3714277.7489895737,321.0,210.0,265.5,46.0,17.020535224635793,824.3652817167548,Red River
118,118,13,13_22,430269.12537068065,3709338.3537232564,333.0,248.0,290.5,54.0,11.722991560708294,1286.4673358755683,Red River
129,129,14,14_23,430499.74959444406,3707649.26614195,389.0,134.0,261.5,50.0,19.89810375986012,1429.080402718554,Red River
170,170,19,19_8,434477.6810695224,3689134.334190303,370.0,235.0,302.5,30.0,18.063891096100065,534.1018292157336,Red River
34,34,4,4_8,407616.1584198831,3711291.204385467,204.0,128.0,166.0,52.0,20.984210636105466,570.6992269952813,Red River
254,254,24,24_24,432026.3846964143,3676613.568569557,243.0,166.0,204.5,40.0,11.221119529796514,1313.1520266973155,Red River
78,78,8,8_9,419888.3185495804,3717788.384476442,221.0,169.0,195.0,100.0,5.538736146522101,508.3298203218386,Red River
133,133,15,15_1,431552.37694805255,3707266.223739977,375.0,258.0,316.5,26.0,14.464207214485233,74.85870362972392,Red River
102,102,11,11_12,426196.2460541845,3713224.975989634,189.0,160.0,174.5,28.0,17.328177933958195,365.66965482654734,Red River
209,209,22,22_1,435579.34862380405,3682024.2022321145,355.0,261.0,308.0,34.0,9.03882788740475,74.97341948595859,Red River
62,62,9,9_4,323918.266233168,3327649.155355385,176.0,154.0,165.0,38.0,4.9912686624461164,354.8839629181215,Trinity River
96,96,19,19_4,323962.6541258613,3334435.53100059,371.0,147.0,259.0,38.0,5.630444929433151,325.12488865332836,Trinity River
55,55,7,7_8,324738.3707785332,3326522.82195731,200.0,110.0,155.0,40.0,4.907784913599087,781.2793333503492,Trinity River
15,15,1,1_11,324318.9528303301,3320827.17771614,143.0,265.0,204.0,38.0,3.8587007471629415,764.5186812572622,Trinity River
68,68,10,10_8,324749.64189094666,3328886.614193488,186.0,111.0,148.5,38.0,5.061973281516948,790.6074270334226,Trinity River
9,9,1,1_3,324722.65480118594,3320502.215662202,162.0,109.0,135.5,46.0,3.711048809271572,386.07251259591436,Trinity River
7,7,1,1_0,325068.09537371673,3320674.618666328,229.0,74.0,151.5,44.0,4.45763524977382,0.0,Trinity River
46,46,6,6_7,323388.51637574163,3325212.49668759,197.0,125.0,161.0,58.0,4.416682286616494,830.8057385556112,Trinity River
16,16,2,2_0,324318.9528303301,3320827.17771614,143.0,265.0,204.0,38.0,3.8587007471629415,0.0,Trinity River
128,128,24,24_1,325733.2656417694,3338160.519131996,201.0,137.0,169.0,70.0,5.228659557032773,198.91531364980847,Trinity River
7,7,4,4_11,-1059561.4064613837,2544874.0108507117,456.0,245.0,350.5,180.0,6.000938142402016,798.3834154247162,Koyukuk River
3,3,4,4_1,-1058763.308080994,2544852.6788736656,516.0,305.0,410.5,151.0,5.9834416578028735,0.0,Koyukuk River
21,21,9,9_10,-1039123.5972642356,2520315.929942458,772.0,626.0,699.0,140.0,5.128041764230514,3121.245406428112,Koyukuk River
8,8,6,6_3,-1042403.0302586281,2537065.4380883067,611.0,451.0,531.0,281.0,8.709310540484314,0.0,Koyukuk River
5,5,4,4_4,-1061157.7905797611,2544367.623635295,611.0,346.0,478.5,281.0,9.078142722201314,2443.1178893317474,Koyukuk River
18,18,9,9_0,-1036004.3262172623,2520426.930044542,561.0,416.0,488.5,200.0,7.064647678409285,0.0,Koyukuk River
13,13,7,7_10,-1042450.1958800937,2526842.0375737613,792.0,536.0,664.0,571.0,11.253525240372523,4209.05697892145,Koyukuk River
9,9,6,6_4,-1043223.8287836442,2537988.920334118,486.0,330.0,408.0,331.0,7.579798641657865,1235.5280964014278,Koyukuk River
25,25,10,10_9,-1033126.7446670388,2511289.703110097,571.0,366.0,468.5,351.0,8.83224442799498,2198.3120626872783,Koyukuk River
4,4,4,4_3,-1059788.3176996796,2544862.5773531226,531.0,285.0,408.0,191.0,6.826204885981071,1025.0574121938346,Koyukuk River
79,79,14,14_114,652208.9998356595,4582238.999841731,655.0,655.0,655.0,276.0,7.976502614667157,,Platte River
14,14,3,3_38,548430.000104117,4515188.999634047,491.0,491.0,491.0,241.0,0.5054288585158444,,Platte River
17,17,3,3_54,427529.9998274711,4515029.999923414,888.0,888.0,888.0,311.0,0.9870205532799112,,Platte River
15,15,3,3_51,427502.9998265978,4515062.999918002,483.0,483.0,483.0,224.0,0.7446285011191742,,Platte River
12,12,3,3_31,546687.0001330887,4515182.9998104805,60.0,60.0,60.0,207.0,0.4840205356402844,,Platte River
36,36,11,11_41,659625.0001728928,4584134.999916236,699.0,699.0,699.0,328.0,1.0589833573871221,,Platte River
50,50,12,12_1,650250.0000948686,4583180.999624278,897.0,897.0,897.0,242.0,1.2963929078267618,,Platte River
32,32,11,11_27,644123.9998231746,4584203.999906583,690.0,690.0,690.0,311.0,1.594124286144449,,Platte River
7,7,3,3_11,546884.999968069,4515260.999826384,491.0,491.0,491.0,242.0,0.5961060914348545,,Platte River
2,2,2,2_13,426335.9998213994,4515788.999901641,699.0,699.0,699.0,242.0,0.8555933769263976,,Platte River
19,19,5,5_29,527927.9998829307,4353674.99979006,54.254400000000004,22.555200000000003,126.0,14.9352,4.7598546863863636,1806.0920580220775,White River
23,23,6,6_12,524489.9998603795,4354259.999826918,0.3048,25.908,43.0,17.6784,0.872112690507378,186.79675952410975,White River
41,41,12,12_21,541259.9998914978,4359290.999653505,176.78400000000002,28.956000000000003,337.5,13.716000000000001,0.7179222986487792,844.365571194064,White River
25,25,6,6_22,524669.9998493525,4354139.999861365,93.5736,71.0184,270.0,16.4592,2.975000477533641,402.90574494697,White River
7,7,2,2_5,519960.0001016704,4347920.9996535415,92.6592,14.325600000000001,175.5,16.764,0.896236644192767,1969.7918848510424,White River
11,11,4,4_7,523869.00002901064,4353326.999984896,159.7152,50.9016,345.5,29.5656,2.352056148748352,71.30916619973335,White River
4,4,1,1_0,519302.9999657702,4346645.999991208,47.5488,22.250400000000003,114.5,38.1,1.598724983920058,0.0,White River
45,45,14,14_8,544890.0001525114,4361489.999939142,42.062400000000004,28.956000000000003,116.5,18.5928,2.7060615463869886,601.7075796487527,White River
20,20,5,5_30,528029.9999968887,4353659.99965345,26.822400000000002,28.651200000000003,91.0,12.192,2.7539432222794065,1909.188308992022,White River
40,40,12,12_20,541169.9999145941,4359305.999653353,91.7448,21.640800000000002,186.0,19.5072,0.6168826864211053,753.7229156917757,White River
19,19,5,5_29,527927.9998829307,4353674.99979006,54.254400000000004,22.555200000000003,126.0,14.9352,4.7598546863863636,1806.0920580220775,White River
23,23,6,6_12,524489.9998603795,4354259.999826918,0.3048,25.908,43.0,17.6784,0.872112690507378,186.79675952410975,White River
41,41,12,12_21,541259.9998914978,4359290.999653505,176.78400000000002,28.956000000000003,337.5,13.716000000000001,0.7179222986487792,844.365571194064,White River
25,25,6,6_22,524669.9998493525,4354139.999861365,93.5736,71.0184,270.0,16.4592,2.975000477533641,402.90574494697,White River
7,7,2,2_5,519960.0001016704,4347920.9996535415,92.6592,14.325600000000001,175.5,16.764,0.896236644192767,1969.7918848510424,White River
