,Unnamed: 0,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,distance,river,normalized_distance,normalized_width
0,0,2,2_6,-1054871.711303124,2548508.2740688,646.0,285.0,465.5,241.0,7.8325718172328695,0.0,Koyukuk River,0.0,0.8892355694227769
1,1,2,2_8,-1055686.0838486468,2548506.7452345127,722.0,356.0,539.0,381.0,6.876028329365022,814.3739805738376,Koyukuk River,1.0,1.110764430577223
2,2,3,3_7,-1056991.2777377057,2544764.9335304364,666.0,421.0,543.5,281.0,5.796052587818635,0.0,Koyukuk River,1.0,1.0
3,3,4,4_1,-1058763.308080994,2544852.6788736656,516.0,305.0,410.5,151.0,5.9834416578028735,0.0,Koyukuk River,0.0,1.0701754385964912
4,4,4,4_3,-1059788.3176996796,2544862.5773531226,531.0,285.0,408.0,191.0,6.826204885981071,1025.0574121938346,Koyukuk River,0.3162594144622564,1.0
5,5,4,4_4,-1061157.7905797611,2544367.623635295,611.0,346.0,478.5,281.0,9.078142722201314,2443.1178893317474,Koyukuk River,0.753771470701014,1.2140350877192982
6,6,4,4_9,-1060881.5835213386,2542399.4701042683,541.0,270.0,405.5,311.0,9.908665743008129,3241.191772699525,Koyukuk River,1.0,0.9473684210526315
7,7,4,4_11,-1059561.4064613837,2544874.0108507117,456.0,245.0,350.5,180.0,6.000938142402016,798.3834154247162,Koyukuk River,0.24632402875679224,0.8596491228070176
8,8,6,6_3,-1042403.0302586281,2537065.4380883067,611.0,451.0,531.0,281.0,8.709310540484314,0.0,Koyukuk River,0.0,1.1549295774647887
9,9,6,6_4,-1043223.8287836442,2537988.920334118,486.0,330.0,408.0,331.0,7.579798641657865,1235.5280964014278,Koyukuk River,1.0,0.8450704225352113
10,10,7,7_1,-1039567.2544646041,2529908.7637510817,807.0,356.0,581.5,220.0,8.191991267814023,0.0,Koyukuk River,0.0,0.7893569844789357
11,11,7,7_2,-1040406.4952456269,2529863.003396428,631.0,466.0,548.5,161.0,6.155451090560463,840.4874172703601,Koyukuk River,0.15469381633384877,1.033259423503326
12,12,7,7_4,-1041302.5659766664,2529611.9177178675,802.0,526.0,664.0,211.0,6.971757320188902,1760.517995173863,Koyukuk River,0.3240277508048131,1.1662971175166297
13,13,7,7_10,-1042450.1958800937,2526842.0375737613,792.0,536.0,664.0,571.0,11.253525240372523,4209.05697892145,Koyukuk River,0.7746874894934144,1.188470066518847
